#NAME	subject1	subject2	subject3	subject4	subject5	subject6	subject7	subject8	subject9	subject10	subject11	subject12	subject13	subject14	subject15	subject16	subject17	subject18	subject19	subject20
K00340	30	6	32	12	3	5	12	2	125	1	21	38	14	1	10	4	5	4	114	55
K00341	6430	5262	2740	2273	154	2621	3729	8043	5945	6649	2573	2490	8402	6206	3872	6710	6592	7038	2227	5030
K00342	318	12	317	7	540	100	1	204	131	464	138	431	665	646	4	319	0	430	19	81
K00343	0	3	2	0	5	10	6	0	0	0	0	0	2	0	0	0	8	1	1	6
K00355	0	0	0	3	3	0	0	2	1	1	0	1	0	0	1	0	0	3	0	0
K00356	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
K00357	6	3	7	15	14	2	9	7	21	89	58	9	2	0	191	24	70	38	135	1
K00360	20254	3000	17215	38978	16585	27208	8825	1294	26887	2286	42531	29882	1263	31976	23497	4795	7655	2293	15821	5404
K00362	693	1599	342	784	254	17	2015	69	303	887	197	4	246	84	331	251	209	371	13	435
K00363	2	4	0	2	0	0	1	0	0	0	0	0	0	4	0	0	0	10	0	0
K00364	10716	11515	12321	55626	61330	78660	31039	27424	86201	24186	25412	26353	18909	6349	55783	36340	3348	16822	29168	29037
K00365	1	10	50	21	6	99	14	12	252	1	0	4	0	3	61	0	0	19	6	20
K00366	153531	44752	25552	72208	83451	41524	187736	140447	72793	72245	79586	89537	153296	7800	53772	70548	112400	13999	60879	116504
K00367	23	276	96	67	2	224	162	119	50	5	225	51	0	516	119	15	7	5	1	1
K00368	1	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
K00370	3	1	7	0	0	2	0	3	0	0	1	0	0	9	0	0	0	0	0	0
K00371	6837	13723	3355	32894	5598	4833	28797	6912	43328	1322	19040	22882	17003	29100	24504	20519	17678	7895	9613	9007
K00372	146	508	49	780	169	43	263	735	815	482	83	186	759	211	283	653	0	89	155	75
K00373	2011	472	1550	4736	520	380	1676	1328	2615	282	2527	197	2225	3006	285	2956	1304	5832	822	861
K00374	1	0	0	1	2	1	1	1	2	0	1	0	0	2	1	0	0	0	0	1
K00376	1	4	48	1	1	21	24	2	68	0	2	0	31	3	0	2	9	0	21	3
K00380	4270	1989	15185	6285	5667	2496	1567	5512	3598	1266	4171	1266	261	971	2854	2208	4451	4513	22845	783
K00381	0	4	0	2	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	2
K00382	19	126	251	145	192	88	731	2051	153	532	44	3	1279	126	661	21	220	1265	558	633
K00383	12	14	1	0	9	0	3	0	11	0	0	0	0	5	3	2	0	0	0	18
K00384	0	2	0	0	2	0	8	0	5	0	0	1	0	3	3	0	0	2	1	0
K00385	2786	4899	6574	83	798	23209	11493	7286	3294	12762	6647	4618	1067	3834	9075	2301	9614	42357	14539	2088
K00387	0	0	0	0	36	3	0	1	33	19	9	0	0	7	1	4	24	4	0	0
K00390	0	1	1	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0
K00392	2	16	0	6	0	6	0	0	8	0	11	0	0	0	0	3	9	1	1	0
K00394	88011	9657	64808	97562	86396	16495	95907	14721	46160	191040	33364	40164	41898	33299	27912	159475	14513	42808	41549	78861
K00395	273	46	495	145	27	195	445	102	114	338	0	328	15	49	3	139	80	142	136	204
K00399	266	2323	43	176	867	605	424	3593	43	292	2662	2203	70	138	1521	285	604	38	3343	92
K00400	71276	12283	23542	54941	26887	75681	34608	46475	9053	16989	40876	20307	59534	28601	117034	28038	59796	34414	84484	73866
K00401	11036	34647	8464	11618	945	4346	22585	9894	14417	5752	4887	8787	4950	3749	32581	5247	1445	21903	6023	1995
K00402	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	1
K00404	0	0	4	0	1	0	2	1	0	0	0	6	6	3	7	0	8	3	0	0
K00405	323	114	107	6	68	19	12	124	13	24	6	11	58	55	107	12	104	147	0	11
K00406	114597	6804	17601	192083	55440	67741	170745	85303	44512	202716	20948	247222	18534	31845	49103	72252	61319	11505	40119	69377
K00407	75	1042	1090	227	100	449	2121	36	939	75	314	157	7	1108	186	6	883	122	1079	80
K00408	1719	2665	1809	4688	270	261	988	6595	5014	300	6278	1328	1086	83	373	2801	1306	1971	578	3136
K00410	20117	10327	65616	5812	15595	13009	41189	15723	47167	15163	15889	7603	29621	14502	7129	12282	2204	14144	8888	19428
K00411	107	330	66	0	37	152	949	29	1	48	503	325	7	113	8	28	18	168	38	10
K00412	0	0	28	9	0	0	5	9	0	4	0	1	0	2	0	1	1	17	0	1
K00413	1	0	11	4	0	10	28	16	0	1	0	1	1	11	0	102	23	0	0	40
K00414	0	0	3	13	1	0	3	7	2	5	2	2	2	1	0	0	7	0	3	9
K00415	13	0	14	40	1	3	35	0	31	34	9	11	9	0	4	29	5	2	5	8
K00416	47865	24146	36132	21937	5964	28698	45964	34326	22563	60636	10258	14373	40790	59416	10270	56877	8195	6756	27206	62539
K00417	4	57	16	22	55	0	5	25	27	9	46	600	321	0	54	12	181	135	143	48
K00418	76	264	221	207	85	7	267	499	498	164	226	3	130	1075	473	3	1853	1064	567	444
K00419	1149	1822	1120	112	310	404	576	1257	1647	1949	2082	1621	3087	104	877	197	303	1000	1061	332
K00420	105188	14099	44289	4250	8070	32394	27172	63387	68184	9125	50315	18361	36553	40927	35564	67005	15618	67725	36908	8773
K00422	29	0	6	0	15	2	2	1	2	4	12	20	0	1	5	1	0	2	0	11
K00423	0	1	0	2	0	2	1	1	15	2	0	3	28	1	0	3	1	0	2	1
K00425	0	0	0	31	2	10	1	0	0	0	38	0	7	11	0	1	10	23	2	0
K00426	62	80	9	0	130	0	2	7	31	6	211	3	88	132	111	0	84	15	12	24
K00430	2191	12872	7757	2139	2728	65	3193	4072	3854	6545	1633	3544	5623	2726	1131	3489	213	5420	8827	1191
K00431	2141	2322	926	1605	922	1404	3227	1029	1410	350	2764	2108	1761	2340	4686	2178	1226	4517	823	10615
K00432	559	9193	322	1778	1720	2389	3226	1449	6373	2078	521	353	7041	1659	2553	2232	1909	5545	3094	3408
K00434	0	0	0	46	63	125	156	148	142	2	262	0	17	1	176	29	4	153	39	10
K00440	2437	52	1307	1674	153	332	171	573	1889	2030	721	57	532	605	615	895	900	864	78	891
K00441	8266	3752	11829	13979	13916	4932	4671	13566	5000	672	2904	5537	10708	10692	7051	1505	7783	2564	1044	2012
K00442	31228	188297	37334	16661	67409	68482	53712	93281	30062	36726	39308	23414	41184	104471	72109	11622	142388	64390	51712	58862
K00443	172	6	14	14	177	101	23	7	21	13	11	9	45	9	277	54	60	8	242	83
K00444	4	0	0	3	0	0	0	4	0	0	8	0	0	1	0	1	1	0	0	2
K00445	11463	99402	17252	12588	16110	8140	32029	9341	25767	106478	12465	14906	31108	11954	19861	27544	29052	11390	89579	16356
K00446	11	0	2	39	2	0	1	1	0	5	0	0	0	0	0	0	0	5	1	1
K00448	21	34	1	0	126	61	56	52	1	99	41	0	1	1	74	45	514	80	28	53
K00449	27469	7012	37429	61828	10854	74255	35184	95447	47779	7264	104358	49416	7382	66565	79859	26818	119451	28506	47508	37140
K00450	2772	294	7886	1782	1363	44	2225	11569	2698	8245	8497	546	8868	917	962	441	1377	9883	314	2590
K00451	1	0	24	0	0	1	3	1	3	0	3	2	4	0	4	0	4	0	0	9
K00452	43129	25919	185806	130830	64244	84513	29522	60980	82374	54662	48610	89783	94847	5988	55694	32371	82696	37909	53716	141663
K00453	1	136	5	0	29	27	0	7	23	138	8	43	78	41	0	44	8	0	70	39
K00454	28871	16788	23173	43920	33901	18576	51594	166299	51830	59905	52183	43798	7883	89135	49366	44460	34148	30936	89061	59961
K00455	42	374	64	370	55	510	784	673	123	979	5	10	256	622	112	753	247	71	1230	653
K00456	1	3	0	0	0	0	4	4	0	0	1	0	3	7	1	1	0	1	0	0
K00457	0	1	12	82	112	57	1	0	54	5	6	22	27	2	110	75	0	7	77	63
K00458	39	10	5	79	9	10	0	94	0	10	14	18	9	74	1	55	128	94	9	121
K00459	2	0	0	0	1	0	0	0	0	0	0	5	13	0	2	5	13	1	2	0
K00460	2	6	1	0	0	0	0	0	0	21	0	0	25	0	4	17	10	13	1	0
K00461	3792	15538	4315	5835	6513	6384	25561	3187	8524	5239	485	4503	6908	4276	1309	6547	6393	7568	5185	15026
K00462	0	0	0	0	2	0	0	1	0	0	0	2	0	0	1	0	1	0	0	5
K00463	0	0	0	9	0	0	0	3	22	0	9	14	7	1	0	16	5	0	0	4
K00466	36	186	66	27	106	139	193	12	15	24	1	6	13	1021	21	364	113	178	7	1
K00467	0	4	16	0	4	0	3	0	0	0	5	32	9	0	0	1	0	1	0	6
K00469	3162	17296	5947	1535	23325	4939	4587	3622	10111	13762	1723	40494	6964	12774	231	7894	6678	2070	3173	5382
K00471	40	120	1096	215	112	1192	255	726	145	151	465	272	365	266	224	104	284	817	168	121
K00472	982	676	2990	7443	4325	1194	285	345	1242	2008	13023	7325	541	288	6239	247	2110	2764	6404	2022
K00473	122219	71113	68097	70134	245685	17422	32909	5881	14581	34584	107049	37507	8978	54925	50064	37916	96432	122576	44427	67021
K00474	0	3	0	1	0	3	2	0	2	1	0	0	0	0	1	0	0	0	0	3
K00475	480	335	729	4	1075	1584	356	271	1188	2245	196	327	264	1339	462	1420	114	38	789	161
K00477	3	0	2	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0
K00480	1	20	8	0	0	0	0	0	4	13	32	4	0	0	1	1	8	17	0	24
K00481	872	1626	647	4575	779	208	413	3	1023	1039	538	28	282	1216	7	289	38	803	539	501
K00483	20	7	21	87	0	15	2	0	23	9	9	0	33	3	17	21	0	19	36	0
K00484	786	172	217	668	465	568	242	292	59	56	28	52	424	24	0	2	1047	42	21	620
K00485	117	7	7	104	1	3	12	90	30	0	4	0	7	7	8	157	0	40	8	212
K00486	144	579	1632	571	648	1231	1368	311	182	764	76	1159	2175	489	858	22	948	442	459	1467
K00487	3	0	4	0	3	0	2	1	4	0	7	1	4	1	0	2	10	2	9	0
K00488	0	0	3	9	0	10	1	29	1	8	1	0	2	0	5	0	6	0	0	3
K00489	449	26	317	187	892	236	41	36	0	57	55	183	373	283	32	26	160	70	0	247
K00491	5	1	0	3	6	0	0	1	1	6	0	3	0	1	0	0	1	0	0	0
K00493	69	31	137	382	17	31	190	520	124	103	108	30	3	50	47	471	17	42	11	24
K00494	230	24	132	77	26	283	201	386	322	116	137	54	26	423	323	22	499	149	177	165
K00496	2381	7229	34264	12411	17660	19508	7585	3949	2030	21602	46441	5461	4554	14409	39632	5897	345	17332	16000	2088
K00497	13678	17413	19778	8196	6914	7541	11017	35493	21229	3933	15379	23866	12478	11612	19037	4690	24051	7134	34566	4183
K00498	1316	1794	808	420	896	193	989	1468	165	17	6	1493	152	589	541	826	971	97	114	1321
K00499	349	27	128	646	153	1766	87	128	154	242	122	264	513	140	58	55	1075	1027	8	20
K00500	79527	36827	19650	72242	58149	31065	75499	52873	27339	14579	18552	36939	52200	34777	111715	82653	22489	21340	9180	41634
K00501	17368	41262	20082	29740	11817	31929	61546	6140	16498	22746	18494	35669	9775	21255	21809	282	5598	19899	54209	5718
K00502	2	7	0	7	14	49	25	24	0	37	145	74	30	185	46	20	0	20	13	4
K00503	0	1	13	5	11	0	0	2	0	0	0	4	4	0	0	1	0	4	16	2
K00505	13	4	13	109	54	30	51	56	46	113	41	16	79	26	11	33	144	48	0	0
K00506	4779	1472	1200	2497	787	1274	2940	2323	2125	1576	2059	1638	288	8134	1919	2006	7670	1036	931	2210
K00507	101	3	0	46	90	14	9	5	18	28	0	12	64	69	5	3	0	9	37	22
K00508	46	60	12	90	760	45	24	61	12	301	4	67	37	494	82	93	50	610	72	206
K00509	11298	5694	10504	608	33387	6638	3006	5192	1183	2857	1248	20202	14920	5032	4752	1935	3733	381	3046	1167
K00510	9	25	12	13	5	13	0	0	0	5	2	1	12	5	8	2	0	0	45	14
K00511	37	9	5	72	47	32	2	121	15	54	6	8	101	698	12	116	120	188	125	25
K00512	9	17	19	311	26	3	100	404	284	15	712	54	7	18	40	200	203	26	74	87
K00513	50	247	401	36	345	1000	528	1378	112	14	13	1260	810	118	16	60	240	246	19	83
K00514	50088	88965	26324	71489	11028	55069	11433	13438	53372	82262	31092	36527	34100	22825	22709	23704	15393	61223	35700	101084
K00515	1	0	0	0	22	10	4	26	1	0	5	19	74	8	12	2	13	19	16	0
K00522	67	1	8	4	2	2	69	10	7	2	19	0	10	35	4	14	3	4	1	43
K00523	1653	6700	1504	9217	663	9228	11130	19898	4030	5366	1911	1107	5130	23510	7789	1801	14943	6793	2149	5235
K00524	3	0	0	0	0	1	0	0	0	0	4	0	5	0	1	1	2	0	3	0
K00525	1	6	3	0	1	0	0	5	0	3	0	3	0	49	0	0	1	1	0	4
K00526	5	0	11	0	0	0	2	0	1	8	1	4	1	0	0	6	0	3	9	0
K00527	13	0	86	104	9	9	214	19	91	10	65	59	6	33	33	1	3	14	3	8
K00529	2746	404	2517	2282	13694	9923	3886	12228	2441	427	10056	565	3517	3238	712	3054	4222	4248	2667	15065
K00531	2	2	2	1	2	2	3	3	0	0	0	0	6	0	0	14	0	17	19	1
K00541	286	754	77	229	0	342	0	62	3	58	81	97	165	15	5	75	30	135	30	36
K00542	226	1	74	0	0	3	0	68	153	0	5	19	11	135	29	12	7	24	40	28
K00543	16195	4797	9475	5006	3839	6359	3053	3730	1448	5274	10627	19959	12658	12122	459	6458	4526	2140	2824	3633
K00544	373	165	230	1246	1107	172	1354	7867	5521	5312	3864	2277	1378	2152	5213	4240	1165	3606	342	13721
K00545	143	221	204	1654	5453	3565	215	790	2027	1534	282	197	60	1114	239	897	1271	286	374	25
K00546	2	15	1	0	1	0	1	0	0	0	5	1	50	0	16	6	0	19	92	0
K00547	0	4	10	83	0	2	99	0	0	0	6	21	0	0	2	1	15	0	46	12
K00548	0	0	0	0	3	1	1	1	0	0	0	3	4	2	0	1	0	0	0	2
K00549	5	4	212	10	59	34	0	38	1	219	0	6	288	3	225	4	148	5	173	5
K00550	10828	2161	4668	4499	4664	8203	6552	2329	2127	1380	14579	9432	984	4821	10431	5150	831	975	1034	2175
K00551	1802	1078	322	329	508	1158	511	114	14	936	50	534	147	1235	568	1515	703	1082	741	382
K00552	10895	6716	7693	1273	1525	22438	36464	14218	887	5954	1289	15366	4734	18317	2875	5187	27877	16973	40204	24240
K00553	0	4	2	1	0	3	5	0	2	1	0	4	0	2	0	11	0	1	0	12
K00558	92	6	99	155	154	66	257	60	80	0	91	11	232	102	1	330	98	2	225	88
K00559	4114	29630	19757	7210	19313	5960	6730	3398	6058	8537	7932	19931	14023	16303	4347	15087	13884	4179	3979	7443
K00560	0	0	1	1	2	0	0	1	2	4	3	0	2	0	0	0	0	0	4	1
K00562	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	8
K00565	0	2	0	6	41	0	0	6	10	6	0	1	58	4	12	0	3	1	11	17
K00566	1771	11023	2332	50	6919	3932	613	2539	3571	150	479	4192	289	6104	7510	6082	3719	5251	3212	4006
K00568	0	0	0	0	0	0	1	0	0	0	0	8	0	2	1	11	1	14	0	2
K00569	455	1940	2787	7583	365	469	714	291	3902	706	65	0	60	499	99	675	346	1359	130	427
K00570	0	1	2	0	0	0	0	0	4	0	0	2	0	0	0	0	0	2	0	1
K00572	22	0	15	0	0	0	1	1	0	0	2	1	5	0	0	0	0	1	0	3
K00575	117239	47084	22782	16170	9641	51923	70514	98229	64791	82362	60063	120894	154741	104123	102829	30719	26179	106115	19436	38725
K00577	26	128	151	37	68	27	254	15	185	182	7	58	30	6	5	173	250	46	47	29
K00578	37200	48082	19643	20286	14117	47848	2221	34183	74108	25639	129250	10117	40691	43443	23794	17788	77381	20892	44837	6423
K00579	1580	5609	8148	4576	479	3716	3526	3721	426	8901	5341	5108	2470	3649	17038	10456	11210	6553	3658	1900
K00580	459	561	605	1029	91	130	388	184	225	35	35	13	41	2539	1083	1539	180	21	120	0
K00581	281	1975	416	1375	200	241	1426	259	129	769	338	2335	400	571	50	127	238	950	635	1088
K00582	43425	79302	215542	142517	193873	178685	9457	31496	71986	114352	137077	130995	222126	50341	177328	291488	38160	87142	59648	200295
K00583	6	0	0	3	0	13	0	4	0	11	15	1	0	11	0	0	2	10	2	0
K00584	111	162	702	382	634	33	2414	612	57	1587	1522	104	199	1064	237	578	120	513	224	440
K00587	29	31	432	332	187	0	17	113	83	28	101	162	0	0	101	7	1	379	47	0
K00588	186958	8429	37867	67265	93363	46169	59505	93456	27939	52042	80123	20263	116525	30342	149494	123510	85575	34226	40972	61310
K00589	0	0	2	3	0	1	1	0	0	1	0	0	1	0	1	0	4	0	4	1
K00591	0	0	8	0	40	2	1	1	10	1	0	3	0	4	47	0	19	10	5	1
K00595	8212	30485	1835	7179	1729	6856	6718	10328	7668	2653	4980	1830	32162	24976	6234	25744	13294	8030	8511	47091
K00600	6036	19478	3073	6073	12891	44456	19487	12092	2924	7404	4139	17795	8956	1927	7833	23013	21565	13829	6506	18238
K00601	924	4189	2859	13155	2208	4509	1338	222	3569	168	221	2214	2969	1120	361	540	198	75	1236	682
K00602	89	510	172	211	706	16	493	179	719	250	154	281	106	778	1290	1706	1209	1002	67	390
K00603	157	319	317	1298	720	239	207	49	828	43	1022	4	1372	12	1836	63	98	3	5	7
K00604	160	32	21	0	16	2	86	4	164	59	9	35	7	22	6	1	37	162	20	92
K00605	6908	23978	5174	68444	59314	57626	35636	24428	15762	150	5981	25609	3966	66072	8512	14750	20440	17682	19551	29599
K00606	0	1	2	1	6	0	0	0	6	0	0	21	1	0	0	1	4	0	0	14
K00608	111	2	0	85	0	0	2	0	92	45	112	1	65	4	260	38	4	19	227	0
K00609	3	4	8	0	0	3	8	4	0	21	3	7	2	0	0	7	3	0	2	0
K00610	22	0	4	21	0	11	1	3	7	0	4	2	21	0	2	0	0	16	0	28
K00611	0	0	0	0	1	4	0	0	0	0	0	24	0	0	1	1	1	18	0	1
K00613	4	2	0	1	76	35	4	0	10	3	0	1	17	10	0	0	1	1	0	3
K00615	520	1308	207	898	1181	1670	879	103	131	46	5577	353	217	353	974	778	260	859	3329	1141
K00616	60	15	9	13	10	3	5	8	3	10	49	31	4	44	32	1	0	18	30	25
K00618	226	168	1172	1606	2588	1605	182	1902	1348	144	15	104	393	1676	2052	859	309	318	132	197
K00619	0	0	0	0	9	0	1	2	0	0	0	0	0	0	1	0	6	0	2	1
K00620	4	0	1	1	14	3	3	19	189	35	0	0	192	3	1	11	2	1	0	2
K00621	0	0	11	5	0	3	45	1	13	2	0	0	0	13	25	1	2	1	10	1
K00622	640	501	600	51	613	1221	748	4507	1285	204	511	75	442	331	1105	270	1072	3594	121	522
K00623	775	918	204	134	0	583	90	2663	47	1604	80	116	258	68	53	957	165	125	130	581
K00624	20651	15114	18811	21448	9314	10205	17366	19205	13303	13877	22524	4832	22197	15470	28957	1806	15737	38134	22089	40933
K00625	1846	1456	114	2216	388	248	1497	2205	2948	699	198	821	2315	803	165	758	1674	1137	107	2008
K00626	24419	6583	41042	5046	25809	14187	1195	37306	12354	36407	9783	9503	10253	29578	2945	20172	35912	19407	24090	2753
K00627	0	1	0	1	0	1	0	0	0	3	0	0	1	1	0	4	1	0	0	0
K00628	40802	32955	14874	29963	27823	23133	1344	31377	22344	14563	10731	20101	36294	30934	45440	750	24595	28877	11327	10348
K00629	263	393	202	1763	823	31	486	1920	170	148	49	567	512	999	193	327	452	88	403	15
K00630	1	138	145	50	8	64	813	36	90	369	165	534	36	132	285	107	96	72	111	679
K00631	0	4	7	121	17	7	56	11	104	7	2	22	29	2	18	118	23	21	10	46
K00632	98063	240832	45077	14517	95659	11058	26069	15546	48023	6052	91051	22403	24997	20008	30374	26107	14142	9150	51116	40440
K00634	0	2	0	0	0	4	1	1	0	0	0	0	1	1	0	0	0	0	0	0
K00635	1	0	4	0	0	0	0	3	0	0	0	10	2	0	5	0	0	7	1	2
K00637	53639	60525	33939	17024	119321	51544	37803	17710	39645	36382	37411	69428	53443	9173	64493	24711	36230	4638	30579	24153
K00639	48	109	0	11	1	3	9	42	58	26	27	44	17	36	34	311	11	1	16	24
K00640	43750	36423	49344	63360	45813	63412	298393	34440	49275	76377	9717	41607	124300	29795	101019	79417	89107	131675	39146	35190
K00641	32	2	0	1	14	0	1	99	1	0	1	0	1	0	3	2	0	0	52	34
K00643	5842	5565	7531	2781	5359	3146	8057	5564	1355	2605	2203	8112	2574	15810	2218	9599	8689	1785	1619	4471
K00645	77	116	159	7	36	31	7	39	33	11	95	10	50	276	357	4	92	72	214	108
K00647	2095	1966	2369	4454	543	471	4396	195	531	2805	1100	6520	266	3133	394	5183	262	86	840	729
K00648	30	317	30	59	20	44	1	0	19	57	0	4	2	132	3	5	294	5	2	57
K00649	8079	4825	3455	3817	2122	11552	566	11217	10077	1786	338	4300	2909	121	1171	7583	3586	881	730	535
K00650	0	8	0	34	0	0	0	7	2	1	3	12	0	3	1	0	29	0	0	0
K00651	960	121	1037	640	481	1387	218	536	227	850	129	1902	149	584	433	268	456	95	779	216
K00652	1242	1262	3812	4678	3063	3361	1872	1120	489	921	13209	807	69	2157	1807	407	7984	519	3961	745
K00654	0	0	1	1	0	1	0	0	0	0	3	0	2	0	0	0	0	1	2	1
K00655	36	22	225	2	42	2	16	8	16	46	27	0	45	41	75	7	58	1	2	24
K00656	254098	73675	103669	50451	104989	85613	52682	97308	44855	26494	75828	59948	92754	158992	23798	138593	53304	12236	101270	71604
K00657	967	1746	149	590	53	946	34	1166	594	186	827	3133	553	136	16	31	1415	556	131	132
K00658	3	0	1	0	1	0	1	0	0	0	0	6	0	0	0	0	0	2	3	0
K00659	2994	4099	7961	5592	19757	21860	4517	16241	2581	12474	16782	2455	9745	2468	11364	479	2507	6475	1678	18962
K00660	36	74	411	1296	471	1107	107	1360	282	143	471	17	241	1580	1013	1251	290	521	288	464
K00665	2897	11995	3464	30009	15088	22230	1315	12375	15810	635	4139	12798	8184	9763	2951	17383	1278	4349	5542	5099
K00667	0	3	0	1	4	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K00668	0	0	1	1	0	1	0	0	0	0	1	0	1	0	2	0	0	0	0	0
K00669	0	0	0	4	0	0	0	4	0	2	0	0	0	0	9	1	4	14	1	0
K00672	446	401	1573	139	352	303	500	121	1700	696	378	69	495	2152	233	362	95	1304	678	1417
K00673	4	0	25	0	116	10	0	0	79	23	14	24	2	44	36	7	9	0	1	10
K00674	45981	59074	49575	159675	37463	46512	98494	195930	41235	89338	89607	131093	99276	48911	73496	43968	24853	171832	158174	73338
K00677	11	0	1	5	0	0	3	0	3	6	8	1	0	3	24	0	9	0	0	1
K00678	0	1	0	3	0	18	1	0	0	5	5	1	2	0	0	3	0	0	3	0
K00679	57051	18377	10338	55094	74353	62271	20174	9840	10842	36796	99712	18510	56474	24231	6028	12048	40459	27813	54466	42742
K00681	105326	80499	15030	29770	16880	15666	17139	86296	28827	105272	26101	29928	53259	143914	164652	26298	20420	14855	20407	35037
K00682	1054	1934	92	820	277	634	217	26	105	396	240	89	235	363	60	675	57	104	141	303
K00687	445	478	556	23	7715	2056	1200	5197	1081	192	2295	6008	772	596	1575	2040	1451	657	2312	1842
K00688	215	75	6	1	0	22	25	3	27	10	2	0	278	40	25	0	13	161	10	5
K00689	23	51	6	20	130	98	1	60	5	152	0	2	0	23	30	0	158	52	27	22
K00690	20571	4073	44548	14118	50809	58874	24228	28191	9847	3690	10495	19919	22986	696	20490	30457	3038	32743	11331	18298
K00691	0	8	1	1	0	0	1	0	1	0	1	0	11	0	0	5	2	3	0	3
K00692	0	1	0	1	0	0	0	0	0	0	2	0	0	2	1	0	0	0	1	1
K00693	7539	1258	1566	298	3008	615	1997	1764	744	2367	734	2434	701	2935	769	748	1453	780	3123	3959
K00694	302	62	906	814	1614	5	236	668	159	261	55	531	677	35	58	1732	46	291	119	152
K00695	0	114	27	135	3	1	18	102	2	157	137	31	17	89	2	26	2	1	17	3
K00696	926	16	39	529	2491	150	1332	749	685	76	771	3906	514	2624	4433	1432	267	3644	4605	642
K00697	119	31	33	32	52	3	0	33	166	257	37	46	29	48	67	4	12	73	9	0
K00698	41107	2289	2080	984	12178	17339	5600	15730	17939	23884	15454	6817	10766	37127	4706	3685	9736	2070	24070	1063
K00699	2	0	0	0	5	0	0	5	0	0	3	0	0	0	1	0	0	0	2	2
K00700	0	8	0	1	0	0	0	0	7	3	5	1	0	0	1	0	0	5	0	1
K00702	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	2	4
K00703	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
K00704	0	1	31	0	1	0	0	4	0	3	0	0	11	7	1	11	4	40	0	54
K00705	18	0	82	7	7	111	0	11	18	17	6	10	2	23	14	17	2	162	75	55
K00706	5610	1652	526	9810	3784	12889	1046	1363	8456	1211	3063	7841	17	1739	1133	3623	5614	4030	2117	7060
K00709	36532	40537	29242	12919	14961	27960	15865	5740	30186	68619	15270	21820	21993	7618	5022	28001	9559	56408	34872	6505
K00710	0	1	1	0	5	1	2	3	0	6	0	0	2	0	0	13	0	2	0	0
K00714	48076	41687	119371	40552	110387	69723	43197	54718	19624	113293	104185	82521	130335	31917	37102	54948	13031	55586	18993	144592
K00715	324	207	171	168	481	362	11	190	47	42	72	1883	1356	126	86	349	145	175	912	1221
K00716	0	1	0	25	24	31	89	0	1	16	1	0	3	52	0	1	26	21	56	3
K00717	2269	77	1707	1352	336	404	791	797	430	139	541	290	500	507	1937	1584	900	214	550	40
K00718	826	611	268	160	634	2015	1974	775	1531	469	658	1774	538	853	242	25	205	1168	25	132
K00719	136	0	820	89	163	466	863	12	4	43	137	1200	90	1	684	682	398	1418	263	460
K00720	10	111	12	334	39	416	5	80	21	42	569	76	83	956	64	105	0	459	1174	430
K00721	0	0	0	0	0	0	0	2	0	15	16	0	1	0	0	15	0	6	2	1
K00722	34	58	8	65	0	19	14	7	3	4	26	16	0	3	11	9	1	0	5	4
K00725	159	18669	5057	3154	944	7089	859	197	1047	3354	16812	6054	5166	5719	14112	8942	7662	3447	3934	2907
K00726	0	0	0	3	3	1	1	1	6	0	0	9	2	1	0	2	0	0	1	1
K00727	1	0	0	0	3	0	0	4	1	10	1	4	0	2	2	0	0	0	1	2
K00728	1	3	1	0	0	0	0	0	0	0	0	2	0	0	1	3	0	2	1	0
K00729	162	48	152	66	15	113	15	116	14	210	8	6	33	165	89	65	8	96	1	4
K00730	96	240	200	742	85	27	363	554	797	504	16	33	184	759	162	27	121	0	28	350
K00731	9	2	0	1	7	23	0	0	15	1	5	10	10	14	10	0	3	11	0	23
K00733	64957	40741	26764	28638	2764	66326	11840	108197	12281	43877	29364	25769	108050	72218	54702	77693	52401	35735	37479	77539
K00734	7110	17984	21141	25662	27356	20870	40381	50906	8802	38395	3864	7949	9694	2144	31008	21566	45512	7582	30864	35026
K00735	2	136	220	83	0	0	26	21	0	129	133	45	58	292	14	356	108	6	138	15
K00736	29	259	173	171	236	1611	437	0	230	108	1046	125	777	68	478	90	1237	327	31	408
K00737	53	0	27	97	59	29	9	68	0	8	1	38	18	1	0	11	13	13	6	62
K00738	4	9	11	21	2	65	9	15	665	78	340	195	0	115	1	1	25	4	14	20
K00739	261	620	36	815	5	600	28	329	52	211	271	156	779	383	1067	158	226	1435	419	302
K00741	89	328	0	211	108	11	260	53	17	53	84	33	1151	27	699	156	184	187	15	157
K00742	142	178	104	201	13	6	119	63	27	120	0	134	6	79	217	3	233	15	18	8
K00743	3125	700	2198	1087	4401	140	2367	5163	2631	4895	225	3872	2822	6025	4239	3836	4908	5094	3073	634
K00744	1	13	0	0	7	0	1	0	1	5	9	6	3	0	14	0	3	0	0	10
